id,titulo,metragem_total_m2,area_locavel_m2,preco_locacao_m2,condominio_m2,iptu_m2_mensal,valor_total_mensal_original,pe_direito_m,endereco_completo,cidade,estado,url,custo_locacao_total_mensal,custo_acessorio_total_mensal,valor_total_mensal_final,categoria_tamanho
15,Zimba Castelo Branco  - Galpão para Alugar,1650,1650,24.5,4.75,0.7,40427.94,,"Estrada Municipal, 505 - Araçariguama, SP",Araçariguama,SP,https://webindustrial.com.br/alugar/imovel/galpao-1650m2-para-locacao-aracariguama/275342,40425,8992.5,49417.5,Médio
20,Zimba Castelo Branco  - Galpão para Alugar,4984,4984,24.5,4.75,0.7,122130.05,,"Estrada Senador José Ermirio de Moraes, 505 - Araçariguama, SP",Araçariguama,SP,https://webindustrial.com.br/alugar/imovel/galpao-4984m2-para-locacao-aracariguama/692641,122108,27162.8,149270.8,Médio
19,Zimba Castelo Branco  - Galpão para Alugar,3300,3300,24.5,4.75,0.7,80850,,"Estrada Senador José Ermirio de Moraes, 505, Araçariguama, SP",Araçariguama,SP,https://webindustrial.com.br/alugar/imovel/galpao-3300m2-para-locacao-aracariguama/692640,80850,17985,98835,Médio
73,CL Castelo Branco - Galpão para Alugar,6320,6320,39,4,1,246498.72,,"Rua Jussara, 510 - Barueri, SP",Barueri,SP,https://webindustrial.com.br/alugar/imovel/galpao-6320m2-para-locacao-barueri/692429,246480,31600,278080,Grande
71,CL Castelo Branco - Galpão para Alugar,24382,24382,39,4,1,950909.69,,"Rua Jussara, 510 - Barueri, SP",Barueri,SP,https://webindustrial.com.br/alugar/imovel/galpao-24382m2-para-locacao-barueri/692427,950898,121910,1072808,Grande
70,CL Castelo Branco - Galpão para Alugar,58635,58635,39,4,1,2286769,,"Rua Jussara, 510 - Barueri, SP",Barueri,SP,https://webindustrial.com.br/alugar/imovel/galpao-58635m2-para-locacao-barueri/692426,2286765,293175,2579940,Grande
72,CL Castelo Branco - Galpão para Alugar,3160,3160,39,4,1,123249.36,,"Rua Jussara, 510 - Barueri, SP",Barueri,SP,https://webindustrial.com.br/alugar/imovel/galpao-3160m2-para-locacao-barueri/692428,123240,15800,139040,Médio
147,Fazenda Tamboré - Galpão em Condomínio para Alugar,1329.39,1329.39,34.6,9.85,0.24,46000,1200,"Av. Marginal Projetada - Fazenda Tamboré, Barueri, SP",Barueri,SP,"https://webindustrial.com.br/alugar/imovel/galpao-em-condominio-1329,39m2-para-locacao-barueri-fazenda-tambore/1000312",45996.89,13413.55,59410.44,Médio
144,Jardim Belval - Galpão para Alugar,831,831,34.03,6.42,0.81,28279.5,6.9,Jardim Belval - Barueri/SP,Barueri,SP,https://webindustrial.com.br/alugar/imovel/galpao-831m2-para-locacao-barueri/693794,28278.93,6008.13,34287.06,Pequeno
132,Urdi CBBP Barueri - Galpão para Alugar,2094,2094,36.01,3.6,0.2,75405.6,,"Avenida Prefeito João Vilallobo Quero, 2259 - Barueri, SP",Barueri,SP,https://webindustrial.com.br/alugar/imovel/galpao-2094m2-para-locacao-barueri/692450,75404.94,7957.2,83362.14,Médio
