id,titulo,preco,condominio,metragem,url,area_locavel,iptu,valor_total_mensal,pe_direito,endereco_completo
1,Cajamar - Galpão em Condomínio para Alugar,30.0,3.0,"19.591,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-em-condominio-19591m2-para-locacao-franco-da-rocha-cajamar/692057,19591.0,0.75,587730.0,1200.0,"Rodovia Edgar Máximo Zamboto, 42 - Franco da Rocha"
2,BRZ Ribeirão Preto - Galpão em Condomínio para Alugar,,3.8,"3.376,00 a 6.940,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-em-condominio-3376m2-para-locacao-ribeirao-preto/1000343,3376.0,1.0,0.0,1200.0,"Rodovia Anhanguera, Km 308, S/N - Ribeirão Preto"
3,BRZ 386 Logistics Park - Galpão em Condomínio para Alugar,,3.8,"2.821,00 a 3.424,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-em-condominio-2821m2-para-locacao-nova-santa-rita/1000344,2821.0,1.0,0.0,1200.0,"Rodovia Governador Leonel De Moura Brizola, 437 - Nova Santa Rita"
4,Bonsucesso Logistics Park - Galpão em Condomínio para Alugar,,3.66,"2.839,00 a 3.056,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-em-condominio-2839m2-para-locacao-guarulhos/265206,2839.0,1.73,0.0,1200.0,Detalhes da Oferta
5,Bandeirantes Business Park - SP - Galpão para Alugar,25.0,4.07,"4.303,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-4303m2-para-locacao-jundiai/692247,4303.0,0.97,107575.0,,"Avenida Antônio Frederico Ozanan, 11200 - Jundiaí"
6,Distrito Industrial Domingos Giomi - Galpão em Condomínio para Alugar ou Comprar,18.0,,"5.740,00 m²",https://webindustrial.com.br/alugar-comprar/imovel/galpao-em-condominio-5740m2-para-locacao-venda-indaiatuba/692048,5740.0,,103320.0,600.0,"Rua Dalísio Silveira Barros, 1 - Indaiatuba"
7,Cy.log Embu - Galpão para Alugar,26.5,3.8,"39.029,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-39029m2-para-locacao-embu-das-artes/297548,39029.0,,1034268.5,,"Estrada Maria Imaculada, 0 - Embu das Artes"
8,Extrema Business Park - Galpão para Alugar,34.0,3.96,"23.097,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-23097m2-para-locacao-extrema/604596,23097.0,,785313.31,,"Rodovia Fernão Dias, 2150 - Extrema"
9,Itaquera - Galpão para Alugar,32.09,,"24.697,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-24697m2-para-locacao-sao-paulo-itaquera/692044,24697.0,,792449.0,1200.0,"Rua Tomoichi Shimizu, 370 - São Paulo"
10,Casa Grande - Galpão para Alugar,15.0,,"900,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-900m2-para-locacao-diadema/693722,900.0,1.07,13500.0,,"Av Ferraz Alvim, 935 - Diadema"
